Campus,First Survey Year
Baylor University,2023
James Madison University,2023
Louisiana State University,2023
Penn State University,2023
Washington State University,2023
West Virginia,2023
Auburn University,2024
Bowling Green State University,2024
Cal Poly San Luis Obispo,2024
Mississippi State University,2024
University of Alabama,2024
University of Kentucky,2024
University of Tennessee,2024
Virginia Polytechnic Institute and State University,2024
Lehigh University,2025
Ohio University,2025
Stockton University,2025
University of North Carolina at Chapel Hill,2025
