School,Year,YearInCohort
Auburn University,2425,1
Auburn University,2526,2
Baylor University,2324,2
Baylor University,2425,3
Bowling Green State University,2425,1
Bowling Green State University,2526,2
"California Polytechnic State University, San Luis Obispo",2425,1
Cal Poly San Luis Obispo,2526,2
James Madison University,2324,2
James Madison University,2425,3
James Madison University,2526,4
Lehigh University,2526,1
Louisiana State University,2324,2
Louisiana State University,2425,3
Mississippi State University,2425,1
Mississippi State University,2526,2
Ohio University,2526,1
Penn State University,2324,2
Penn State University,2425,3
Penn State University,2526,4
Stockton University,2526,1
The University of Alabama,2425,1
The University of Alabama,2526,2
University of Kentucky,2425,1
University of Kentucky,2526,2
University of North Carolina at Chapel Hill,2526,1
University of Tennessee Knoxville,2526,2
"University of Tennessee, Knoxville",2526,2
"University of Tennessee, Knoxville",2425,1
Virginia Polytechnic Institute and State University,2425,1
Virginia Polytechnic Institute and State University,2526,2
Washington State University,2324,2
Washington State University,2425,3
Washington State University,2526,4
West Virginia University,2324,2
West Virginia University,2425,3
